Family,sciname,n,d13C,d18O,K_caud,Length,Troph,Max_depth,Paper,Myct
Acanthuridae,Acanthurus triostegus,8,-3.7,-0.6,2.2,27,2.8,90,Sherwood_Rose_2003,Other
Ariommatidae,Ariomma regulus,1,-5.5,0.8,4.6,25,3.4,500,Sherwood_Rose_2003,Other
Arripidae,Arripis truttacea,2,-4,0.6,3.2,96,4.3,80,Sherwood_Rose_2003,Other
Arripidae,Arripis trutta,25,-5.6,0.3,4,89,3.9,30,Sherwood_Rose_2003,Other
Berycidae,Beryx splendens,11,-2.5,0.5,2.6,70,4,1300,Sherwood_Rose_2003,Other
Bramidae,Brama brama,2,-6.5,0.4,3.3,100,4.1,1000,Sherwood_Rose_2003,Other
Carangidae,Trachurus declivis,2,-5.4,1.1,2.8,64,3.6,460,Sherwood_Rose_2003,Other
Carangidae,Trachurus trachurus,5,-1.3,0.6,3.2,70,3.6,600,Sherwood_Rose_2003,Other
Centracanthidae,Maena maena,16,-4.1,1.7,3.5,25,3.7,130,Sherwood_Rose_2003,Other
Centrolophidae,Centrolophus niger,1,-3.2,1.3,2.5,150,4,600,Sherwood_Rose_2003,Other
Centrolophidae,Hyperoglyphe bythites,1,-1.2,-0.2,NA,60,NA,NA,Sherwood_Rose_2003,Other
Centrolophidae,Psenopsis obscura,1,-0.9,1.1,1.5,20,NA,800,Sherwood_Rose_2003,Other
Centrolophidae,Schedophilus pemarco,1,-3.6,-0.1,0.7,50,NA,500,Sherwood_Rose_2003,Other
Centrolophidae,Seriolella violacea,8,-0.6,1,2.5,65,NA,NA,Sherwood_Rose_2003,Other
Chaetodontidae,Chaetodon ulietensis,4,-4.8,-0.3,2.1,15,3.3,30,Sherwood_Rose_2003,Other
Cheilodactylidae,Nemadactylus macropterus,92,-6.1,0.4,3.9,70,3.4,450,Sherwood_Rose_2003,Other
Clupeidae,Clupea pallasii pallasii,19,-2.8,-1.8,2.6,46,3.4,150,Sherwood_Rose_2003,Other
Clupeidae,Sardina pilchardus,19,-6.1,0.6,3,25,3.4,100,Sherwood_Rose_2003,Other
Clupeidae,Sardinops sagax,588,-6.9,0.8,3.9,40,2.5,200,Sherwood_Rose_2003,Other
Engraulidae,Engraulis encrasicolus,27,-4.3,-0.2,2.2,20,2.9,400,Sherwood_Rose_2003,Other
Gadidae,Merlangius merlangus,8,-1.7,2.2,1.2,70,3.9,200,Sherwood_Rose_2003,Other
Gadidae,Trisopterus minutus,2,-2.4,2.4,1.5,40,3.8,400,Sherwood_Rose_2003,Other
Gadidae,Gadus morhua,83,-0.6,2.4,1.8,200,4.1,600,Sherwood_Rose_2003,Other
Gadidae,Melanogrammus aeglefinus,101,-0.9,1.3,1.8,100,3.3,450,Sherwood_Rose_2003,Other
Gempylidae,Thyrsites atun,4,-5.3,0.8,2.9,200,3.9,550,Sherwood_Rose_2003,Other
Lutjanidae,Lutjanus sebae,369,-4.2,-0.6,2.2,116,4.1,180,Sherwood_Rose_2003,Other
Lutjanidae,Pristipomoides filamentosus,1,-4.2,-0.9,2.1,100,3.6,400,Sherwood_Rose_2003,Other
Merlucciidae,Merluccius bilinearis,1,-0.8,1.4,0.8,76,4.4,914,Sherwood_Rose_2003,Other
Merlucciidae,Merluccius merluccius,10,-2.9,2,0.9,140,4.2,1000,Sherwood_Rose_2003,Other
Moridae,Pseudophycis barbata,4,-1.4,1.1,0.7,63,3.5,300,Sherwood_Rose_2003,Other
Moronidae,Dicentrarchus labrax,1,-5.5,0.5,1.7,103,3.8,10,Sherwood_Rose_2003,Other
Moronidae,Morone saxatilis,1,-4.4,NA,2,200,4.6,30,Sherwood_Rose_2003,Other
Myctophidae,Ceratoscopelus maderensis,1,-4.1,2,1.4,8,3.1,700,Sherwood_Rose_2003,Myctophidae
Nototheniidae,Lepidonotothen squamifrons,2,-3.8,2.7,1.2,55,3.3,680,Sherwood_Rose_2003,Other
Osmeridae,Osmerus mordax,1,-2.5,-1.5,2.1,36,3.2,150,Sherwood_Rose_2003,Other
Pomatomidae,Pomatomus saltatrix,226,-4.2,0.7,2.2,130,4.3,200,Sherwood_Rose_2003,Other
Salmonidae,Oncorhynchus nerka,34,-4.5,0.8,2.6,84,3.4,250,Sherwood_Rose_2003,Other
Sciaenidae,Sciaena umbra,9,-1.5,0.6,0.9,47,4.1,100,Sherwood_Rose_2003,Other
Scombridae,Thunnus maccoyii,2,-7.9,-1.6,5.4,245,3.9,50,Sherwood_Rose_2003,Other
Scombridae,Thunnus thynnus,3,-8.6,-1.5,6,458,4.4,100,Sherwood_Rose_2003,Other
Serranidae,Epinephelus multinotatus,327,-4.6,-0.8,2.2,100,3.9,100,Sherwood_Rose_2003,Other
Serranidae,Serranus scriba,1,-4.7,-0.2,1.3,36,3.9,150,Sherwood_Rose_2003,Other
Sparidae,Boops boops,11,-6.4,0.4,3.3,36,3.2,350,Sherwood_Rose_2003,Other
Sparidae,Sarpa salpa,8,-6.9,0.3,4.2,51,2,70,Sherwood_Rose_2003,Other
Sparidae,Dentex dentex,6,-3.5,0.5,3.9,100,4.5,200,Sherwood_Rose_2003,Other
Sparidae,Diplodus annularis,1,-7.3,-0.1,2.6,24,3.4,90,Sherwood_Rose_2003,Other
Sparidae,Diplodus sargus,2,-6,0.7,4.2,45,3,50,Sherwood_Rose_2003,Other
Sparidae,Diplodus vulgaris,2,-2.6,1.4,3.8,45,3.2,160,Sherwood_Rose_2003,Other
Sparidae,Lithognathus mormyrus,6,-5.7,-0.7,3,55,3.4,150,Sherwood_Rose_2003,Other
Acanthuridae,Acanthurus triostegus,8,-3.7,-0.6,2.2,27,2.8,90,Sherwood_Rose_2003,Other
Acanthuridae,Oblada melanura,10,-5.7,0.3,3.7,34,3.3,30,Sherwood_Rose_2003,Other
Acanthuridae,Pagellus erythrinus,3,-3.5,1.3,2,60,3.2,300,Sherwood_Rose_2003,Other
Acanthuridae,Pagrus auratus,64,-2,1.7,3.2,130,3.4,200,Sherwood_Rose_2003,Other
Acanthuridae,Diplodus puntazzo,1,-4.6,1.1,3.7,60,2.9,150,Sherwood_Rose_2003,Other
Acanthuridae,Sparus aurata,3,-4,0.5,2,70,3.6,150,Sherwood_Rose_2003,Other
Acanthuridae,Spondyliosoma cantharus,3,-3.3,1.3,3,60,3.1,300,Sherwood_Rose_2003,Other
Stromateidae,Pampus argenteus,1,-4,0.2,2.9,60,3.3,110,Sherwood_Rose_2003,Other
Stromateidae,Peprilus triacanthus,1,-4.6,-1.1,3.1,30,3.9,15,Sherwood_Rose_2003,Other
Stromateidae,Stromateus stellatus,1,-0.8,-0.9,2.7,25,NA,NA,Sherwood_Rose_2003,Other
Trachichthyidae,Hoplostethus atlanticus,11,-1,2.4,1.4,75,4.1,1810,Sherwood_Rose_2003,Other
Triglidae,Prionotus evolans,1,-0.2,-0.2,1,45,4.1,180,Sherwood_Rose_2003,Other
Myctophidae,Electrona antarctica,19,-4.8,3.8,1.5,10,3.2,2000,My_data,Myctophidae
Myctophidae,Electrona carlsbergi,17,-2.8,3.1,1.1,10,3.2,1000,My_data,Myctophidae
Myctophidae,Gymnoscopelus braueri,20,-4.5,4,1.1,13,3.2,1000,My_data,Myctophidae
Myctophidae,Gymnoscopelus nicholsi,12,-2.5,3.2,1.3,16,3.4,1000,My_data,Myctophidae
Myctophidae,Krefftichthys anderssoni,20,-4.1,3.6,1.4,7,3.1,1000,My_data,Myctophidae
Myctophidae,Protomyctophum bolini,20,-3,3.6,0.9,7,3,1000,My_data,Myctophidae
